station_name,line_name,description,todo
보문역,6호선,"성북천을 따라 천천히 걷고, 대학가와 오래된 주거 골목 사이의 조용한 생활감을 느낄 수 있는 역이에요.","1. 성북천을 따라 가볍게 산책하기
2. 보문동 골목과 생활 상권 둘러보기
3. 성신여대·안암 방향으로 이어지는 대학가 카페 들르기
4. 조용한 동네 분위기를 기록하거나 사진으로 남기기"
창신역,6호선,"낙산공원 아래 오래된 골목과 숨은 문화공간이 어우러진, 뷰 좋은 언덕 위 역이에요.","1. 골목에 숨은 문화공간 둘러보기
2. 골목시장에서 구경하며 특색 있는 먹거리 맛보기
3. 인근 공원과 성곽길을 따라 걸으며 경치 감상하기
4. 뷰가 좋은 감성 카페에서 조용히 시간 보내기"
효창공원앞역,6호선,"백범김구기념관과 효창공원, 경의선숲길이 어우러진 차분한 역사의 역이에요.","1. 인근 기념관 등 역사적인 공간 둘러보기
2. 전통시장을 구경하며 걷기 좋은 동네 분위기 느끼기
3. 분위기 좋은 식당에서 식사하기
4. 공원과 숲길을 산책 후 아늑한 동네 카페 들르기"
광흥창역,6호선,"소극장과 골목 카페 사이로, 마포새빛문화숲의 숲길이 흐르는 아늑한 역이에요.","1. 소극장이나 대안공간에서 문화예술 즐기기
2. 분위기 좋은 동네 식당에서 식사하기
3. 인근 숲과 공원에서 숲길 따라 산책하기
4. 골목 사이사이 숨겨진 차분한 감성 카페 탐방하기"
월드컵경기장역,6호선,"문화비축기지와 하늘공원의 탁 트인 자연 속, 사진 찍기 좋은 여유로운 역이에요.","1. 복합문화공간과 도서관에서 사진 찍고 책 읽기
2. 탁 트인 대형 공원들에서 자연 풍경 감상하며 걷기
3. 다양한 메뉴의 맛집에서 든든하게 식사하기
4. 하천 물길을 따라 산책 후 아늑한 동네 카페 가기"
고려대역,6호선,"고려대 캠퍼스의 활기와 개운산·정릉천 산책길이 어우러진, 젊고 차분한 역이에요.","1. 대학 캠퍼스 내 박물관과 아트센터 관람하기
2. 다양한 대학가 식당에서 가성비 좋은 식사하기
3. 인근 근린공원과 정릉천을 걸으며 자연 느끼기
4. 사진 찍기 좋고 차분한 대학가 카페에서 커피 즐기기"
공릉역,7호선,"경춘선숲길과 도깨비시장을 따라, 감성 카페와 정겨운 동네 활기가 흐르는 역이에요.","1. 과학관과 숲길 갤러리 둘러보기
2. 동네 시장을 구경하며 가성비 맛집 들르기
3. 중랑천과 인근 둘레길을 따라 조용히 걷기
4. 숲길 주변의 감성 넘치는 카페 투어하기"
어린이대공원역,7호선,"어린이대공원의 초록빛과 건국대 일감호가 어우러진, 자연 속 여유로운 역이에요.","1. 인근 대공원에서 동물원과 식물원 구경하기
2. 대학 캠퍼스 내 호수 주변 벤치에 앉아 경치 감상하기
3. 대학가 인근 가성비 밥집에서 든든히 먹기
4. 골목길에 숨어 있는 아늑한 카페에서 시간 보내기"
용마산역,7호선,"용마폭포공원의 시원한 물줄기와 중랑천 산책길이 어우러진, 자연 가득한 역이에요.","1. 인근 폭포공원에서 시원한 물줄기 보며 걷기
2. 중랑천 물길을 따라 걷기 좋은 산책 즐기기
3. 가성비 좋은 동네 맛집 들르기
4. 자연과 어우러진 분위기 좋은 카페에서 여유 즐기기"
자양역,7호선,"뚝섬한강공원의 탁 트인 강바람과 전통시장, 핫플레이스가 공존하는 활기찬 역이에요.","1. 한강공원에서 강바람을 맞으며 탁 트인 풍경 감상하기
2. 전통시장 구경 후 특색 있는 동네 맛집 가기
3. 인근 핫플레이스 문화공간 둘러보기
4. 한강 뷰가 보이는 카페에서 쉬어가기"
하계역,7호선,"북서울미술관과 천문우주과학관 사이로, 중랑천 산책과 북카페 감성이 흐르는 역이에요.","1. 인근 미술관에서 전시 관람하며 사진 찍기
2. 과학관에서 재미있는 체험하기
3. 푸짐한 동네 맛집에서 한 끼 식사하기
4. 중랑천과 공원을 산책하고 북카페에서 쉬어가기"
남성역,7호선,"남성사계시장의 활기와 근린공원 산책길, 아늑한 디저트 카페가 어우러진 역이에요.","1. 동네 시장에서 활기찬 분위기 느끼며 구경하기
2. 든든한 식사 메뉴 골라 맛집 탐방하기
3. 인근 근린공원들에서 동네 산책하기
4. 아늑하고 감성적인 디저트 카페에서 사진 찍고 휴식하기"
암사역,8호선,"암사동선사유적의 오랜 역사와 생태공원의 초록빛이 어우러진, 정겨운 역이에요.","1. 선사유적박물관에서 역사 체험하며 걷기
2. 종합시장을 구경하며 가성비 맛집 찾기
3. 생태공원과 근린공원에서 자연을 느끼며 산책하기
4. 도서관이나 아늑한 동네 카페에서 조용히 커피 즐기기"
몽촌토성역,8호선,"올림픽공원과 몽촌토성 길을 따라, 역사와 자연이 여유롭게 흐르는 역이에요.","1. 인근 박물관과 미술관에서 전시 관람하기
2. 대형 공원과 토성 길을 걸으며 역사와 자연 느끼기
3. 먹자골목에서 든든하게 식사하기
4. 하천 산책 후 분위기 좋은 골목 카페 가기"
강동구청역,8호선,"강풀만화거리 벽화와 풍납토성 성곽길이 어우러진, 아기자기한 골목 감성의 역이에요.","1. 만화거리 골목을 거닐며 예쁜 벽화 앞에서 사진 남기기
2. 토성 성곽길과 인근 공원을 따라 산책하기
3. 동네 숨은 맛집에서 배 채우기
4. 분위기 좋은 동네 북카페나 카페에서 쉬어가기"
송파역,8호선,"송파책박물관과 석촌호수 둘레길을 따라, 조용하고 정갈한 여유가 흐르는 역이에요.","1. 책박물관에서 조용히 책을 읽으며 시간 보내기
2. 고분군과 호수 둘레길 산책하기
3. 가성비 좋고 정갈한 맛집 방문하기
4. 동네 골목의 분위기 좋은 카페 투어하기"
석촌역,8호선,"석촌호수의 낭만적인 풍경과 송리단길 핫플레이스가 어우러진, 감성 가득한 역이에요.","1. 문화실험공간과 인근 미술관 구경하기
2. 핫플레이스 식당에서 푸짐하게 한 끼 하기
3. 호수를 따라 걸으며 낭만적인 풍경 감상하기
4. 골목 사이사이 감성 가득한 분위기 맛집 카페 들르기"
노들역,9호선,"노들섬의 문화공간과 한강 풍경이 어우러진, 여유롭게 쉬어가기 좋은 역이에요.","1. 인근 섬의 복합문화공간에서 휴식하며 문화생활 즐기기
2. 인근 공원들에서 동네 산책하기
3. 든든한 동네 맛집에서 식사하기
4. 한강 풍경을 보며 쉬어갈 수 있는 전망 좋은 카페 가기"
선유도역,9호선,"선유도공원의 한적한 초록길에서 힐링할 수 있는, 조용하고 차분한 역이에요.","1. 인근 섬 공원과 정원을 한적하게 거닐며 힐링하기
2. 인근 실내 문화공간 구경하기
3. 이국적이거나 정갈한 식당 방문하기
4. 조용하고 차분한 동네 감성 카페에서 커피 한 잔하기"
한성백제역,9호선,"소마미술관과 올림픽공원 길을 따라, 문화 전시와 로스터리 향이 흐르는 역이에요.","1. 인근 미술관과 박물관에서 문화 전시 둘러보기
2. 대형 공원과 호수 길을 따라 한가롭게 산책하기
3. 특색 있고 가성비 좋은 식사하기
4. 원두 향 가득한 카페에서 조용히 시간 보내기"
양천향교역,9호선,"서울식물원의 초록빛과 양천향교의 옛 흔적이 어우러진, 사진 찍기 좋은 역이에요.","1. 식물원과 정원에서 예쁜 식물 구경하며 산책하기
2. 향교와 박물관에서 역사적인 흔적 둘러보기
3. 깔끔하고 사진 찍기 좋은 동네 맛집 찾기
4. 식물원 구경 후 아늑한 동네 카페에서 쉬어가기"
흑석역,9호선,"효사정에서 한강을 내려다보며, 대학가 노포와 레트로 카페가 공존하는 정겨운 역이에요.","1. 언덕 위 정자에 올라 탁 트인 한강 경치 감상하기
2. 대학가 근처 가성비 노포 맛집에서 식사하기
3. 인근 국립묘지와 공원 산책로 걷기
4. 동네 골목의 레트로 감성 카페에서 여유 즐기기"
공항시장역,9호선,"국립항공박물관과 롯데몰 사이로, 정겨운 동네 식당과 조용한 골목이 흐르는 역이에요.","1. 인근 박물관 관람 및 대형 몰에서 쇼핑하기
2. 대형 몰 야외 파크와 정원에서 가볍게 산책하기
3. 가성비 좋고 정겨운 동네 식당에서 식사하기
4. 골목에 숨겨진 감성적이고 조용한 카페에서 커피 마시기"
